"occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","julian"
1,2020-11-08,"ID900.226001167775","bluehead_chub",42,87,7,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167775","bluehead_chub",37,105,14,"y","n","n","occ3",18763
1,2020-11-08,"ID900.226001167776","creek_chub",39,84,6,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167777","bluehead_chub",38,71,3.8,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167778","bluehead_chub",43,82,6,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167779","creek_chub",39,96,9.3,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167780","green_sunfish",23,144,46.6,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167781","creek_chub",24,91,7.3,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167782","creek_chub",42,71,4.7,"n","n","n","occ1",18574
2,2021-02-06,"ID900.226001167783","green_sunfish",10,98,14.4,"n","n","n","occ2",18664
8,2022-08-07,"ID900.226001167783","green_sunfish",35,150,72.5,"y","n","n","occ8",19211
1,2020-11-08,"ID900.226001167784","redbreast_sunfish",42,104,18.5,"n","n","n","occ1",18574
2,2021-02-06,"ID900.226001167785","redbreast_sunfish",11,118,22.2,"n","n","n","occ2",18664
1,2020-11-07,"ID900.226001167786","green_sunfish",22,91,11.8,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167787","green_sunfish",22,89,10.4,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167788","creek_chub",39,102,11.2,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167789","creek_chub",39,109,13,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167790","creek_chub",42,89,7.5,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167791","creek_chub",42,86,6.6,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167791","creek_chub",35,94,11,"y","n","n","occ3",18763
1,2020-11-08,"ID900.226001167792","bluehead_chub",43,61,2.4,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167793","bluehead_chub",22,101,11,"n","n","n","occ1",18573
2,2021-02-21,"ID900.226001167793","bluehead_chub",30,104,12.7,"y","n","n","occ2",18679
1,2020-11-07,"ID900.226001167794","green_sunfish",22,70,5.4,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167795","creek_chub",24,91,7.7,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167796","green_sunfish",10,88,9.8,"n","n","n","occ2",18664
